"Month Day, Year Code",Avg Fine Particulate Matter (ľg/mł),Typical?
2004/05/28,9.37,1
2004/05/29,6.49,1
2004/05/30,7.83,1
2004/05/31,10.28,1
2004/06/01,10.84,1
2004/06/02,9.65,1
2004/06/03,14.64,1
2004/06/04,15.09,0
2004/06/05,11.22,1
2004/06/06,13.5,1
2004/06/07,24.16,0
2004/06/08,7.21,1
2004/06/09,10.52,1
2004/06/10,7.17,1
2004/06/11,8.24,1
2004/06/12,11.13,1
2004/06/13,8.75,1
2004/06/14,8.91,1
2004/06/15,9.91,1
2004/06/16,9.22,1
2004/06/17,11.47,1
2004/06/18,11.48,1
2004/06/19,12.42,1
2004/06/20,12.14,1
2004/06/21,13.57,1
2004/06/22,13.41,1
2004/06/23,13.91,1
2004/06/24,15.19,0
2004/06/25,17.79,0
2004/06/26,10.24,1
2004/06/27,10.12,1
2004/06/28,10.63,1
2004/06/29,8.53,1
2004/06/30,7.88,1
2004/07/01,9.41,1
2004/07/02,10.05,1
2004/07/03,12.44,1
2004/07/04,24.82,0
2004/07/05,20.55,0
2004/07/06,11.5,1
2004/07/07,11.63,1
2004/07/08,8.41,1
2004/07/09,9.23,1
2004/07/10,8.47,1
2004/07/11,8.68,1
2004/07/12,14.44,1
2004/07/13,11.94,1
2004/07/14,9.15,1
2004/07/15,8.52,1
2004/07/16,10,1
2004/07/17,8.06,1
2004/07/18,9.26,1
2004/07/19,6.96,1
2004/07/20,6.74,1
2004/07/21,11.4,1
2004/07/22,10.52,1
2004/07/23,11.41,1
2004/07/24,9.85,1
2004/07/25,11.18,1
2004/07/26,9.37,1
2004/07/27,10.99,1
2004/07/28,9.48,1
2004/07/29,10.79,1
2004/07/30,10.84,1
2004/07/31,13.96,1
2004/08/01,9.57,1
2004/08/02,9.25,1
2004/08/03,10.14,1
2004/08/04,9.48,1
2004/08/05,8.48,1
2004/08/06,11,1
2004/08/07,7.94,1
2004/08/08,8.93,1
2004/08/09,9.83,1
2004/08/10,10.92,1
2004/08/11,13.1,1
2004/08/12,13.83,1
2004/08/13,11.49,1
2004/08/14,10.68,1
2004/08/15,9.8,1
2004/08/16,8.86,1
2004/08/17,15.48,0
2004/08/18,12.39,1
2004/08/19,9.72,1
2004/08/20,9.22,1
2004/08/21,8.8,1
2004/08/22,6.88,1
2004/08/23,6.09,1
2004/08/24,7.53,1
2004/08/25,5.94,1
2004/08/26,7.88,1
2004/08/27,8.23,1
2004/08/28,9.27,1
2004/08/29,14.28,1
2004/08/30,11.46,1
2004/08/31,10.96,1
2004/09/01,11.81,1
2004/09/02,11.36,1
2004/09/03,7.03,1
2004/09/04,7.89,1
2004/09/05,9.6,1
2004/09/06,9.75,1
2004/09/07,13.19,1
2004/09/08,14.57,1
2004/09/09,10.89,1
2004/09/10,11.09,1
2004/09/11,11.09,1
2004/09/12,6.66,1
2004/09/13,6.94,1
2004/09/14,9.19,1
2004/09/15,9.29,1
2004/09/16,12.92,1
2004/09/17,10.77,1
2004/09/18,7.93,1
2004/09/19,5.92,1
2004/09/20,5.55,1
2004/09/21,5.11,1
2004/09/22,7.41,1
2004/09/23,11.57,1
2004/09/24,10.42,1
2004/09/25,13.51,1
2004/09/26,17.08,0
2004/09/27,17.18,0
2004/09/28,14.91,1
2004/09/29,8.08,1
2004/09/30,9,1
2004/10/01,9.65,1
2004/10/02,13.54,1
2004/10/03,12.1,1
2004/10/04,13.62,1
2004/10/05,14.46,1
2004/10/06,14.97,1
2004/10/07,19.42,0
2004/10/08,17.5,0
2004/10/09,11.57,1
2004/10/10,5.37,1
2004/10/11,8.83,1
2004/10/12,8.32,1
2004/10/13,13.82,1
2004/10/14,18.68,0
2004/10/15,17.78,0
2004/10/16,13.47,1
2004/10/17,5.75,1
2004/10/18,4.68,1
2004/10/19,5.26,1
2004/10/20,4.29,1
2004/10/21,8.34,1
2004/10/22,12.36,1
2004/10/23,18.89,0
2004/10/24,13.41,1
2004/10/25,11.24,1
2004/10/26,4.92,1
2004/10/27,7.83,1
2004/10/28,13.3,1
2004/10/29,17.8,0
2004/10/30,15.09,0
2004/10/31,11.48,1
2004/11/01,10.63,1
2004/11/02,16.98,0
2004/11/03,14.03,1
2004/11/04,7.98,1
2004/11/05,14.23,1
2004/11/06,18.61,0
2004/11/07,28.33,0
2004/11/08,23.6,0
2004/11/09,18.86,0
2004/11/10,26.61,0
2004/11/11,15.66,0
2004/11/12,12.57,1
2004/11/13,18.25,0
2004/11/14,15.2,0
2004/11/15,23.97,0
2004/11/16,22.59,0
2004/11/17,20.69,0
2004/11/18,34.16,0
2004/11/19,24.22,0
2004/11/20,12.01,1
2004/11/21,5.78,1
2004/11/22,19.11,0
2004/11/23,22,0
2004/11/24,33.1,0
2004/11/25,37.69,0
2004/11/26,29.03,0
2004/11/27,13.76,1
2004/11/28,5.2,1
2004/11/29,14.03,1
2004/11/30,28.5,0
2004/12/01,33.52,0
2004/12/02,18.57,0
2004/12/03,22.5,0
2004/12/04,34.4,0
2004/12/05,24.39,0
2004/12/06,20.34,0
2004/12/07,13.17,1
2004/12/08,10.1,1
2004/12/09,14.33,1
2004/12/10,14.35,1
2004/12/11,12.67,1
2004/12/12,23.82,0
2004/12/13,31.79,0
2004/12/14,13.43,1
2004/12/15,16.48,0
2004/12/16,24.74,0
2004/12/17,17.85,0
2004/12/18,24.03,0
2004/12/19,27.23,0
2004/12/20,20.84,0
2004/12/21,19.21,0
2004/12/22,31.9,0
2004/12/23,17.74,0
2004/12/24,30.08,0
2004/12/25,29.22,0
2004/12/26,25.81,0
2004/12/27,11.68,1
2004/12/28,8.84,1
2004/12/29,5.06,1
2004/12/30,5.31,1
2004/12/31,7.07,1
2005/01/01,11.39,1
2005/01/02,9.46,1
2005/01/03,8.14,1
2005/01/04,12.27,1
2005/01/05,14.98,1
2005/01/06,21.57,0
2005/01/07,9.21,1
2005/01/08,3.9,1
2005/01/09,7.81,1
2005/01/10,6.94,1
2005/01/11,5.19,1
2005/01/12,15.43,0
2005/01/13,20.37,0
2005/01/14,22.62,0
2005/01/15,22.68,0
2005/01/16,21.2,0
2005/01/17,19.41,0
2005/01/18,19.98,0
2005/01/19,16.28,0
2005/01/20,26.08,0
2005/01/21,22.76,0
2005/01/22,22.43,0
2005/01/23,30.44,0
2005/01/24,26.27,0
2005/01/25,21.31,0
2005/01/26,22.18,0
2005/01/27,8.54,1
2005/01/28,6.52,1
