datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
7/29/2003 24:00,atlantic ocean (canada),ns,nan,circle,15 min,baseball size lights&#44one behind the other&#44travelling in straight line,7/16/2006,-28.673147
4/1/2004 00:30,norrk&ouml;ping (sweden),nan,nan,light,10 seconds,Lights travelling very fast in the sky with. Faster than anything ive seen from earth.,4/27/2004,16.192421
11/15/2003 17:00,tracy,ca,us,teardrop,7 mins,I had just left tracy&#44 CA traveling west on I-205 towards San Francisco.  The sky was a little stormy but there was a clearing in it ju,11/26/2003,-121.4241667
6/6/2000 01:45,mt. vernon,va,us,rectangle,1-2 sec,I spotted a short black rectangle in the sky moving moderately fast.,11/20/2001,-77.0863889
4/15/2004 17:00,murrieta,ca,us,unknown,5 minutes at least,I saw a distant light while going somewhere.,10/27/2004,-117.2130556
9/1/2013 21:57,bozrah,ct,nan,circle,1 minute,Orange orb spotted over gardener lake dam.,9/9/2013,-72.163596
11/13/1975 21:15,woodbridge,va,us,circle,10 min,BRIGHT OBJECTS  CHASED INTO BELMONT BAY,5/11/2005,-77.25
4/14/2005 20:30,east greenwich,ri,us,triangle,1-2mins,Triangular ship&#44 stationary&#44 black body&#44 white lights on the three corners and a blinking red/white strobe dead center.,4/16/2005,-71.45638890000002
7/18/2013 22:32,platteville,wi,us,unknown,5 minutes,Fading light moving along the sky over Grant County&#44 Wisconsin.,7/22/2013,-90.4783333
3/5/2010 03:00,fort smith,ar,us,other,1 hour,I noticed what appeared to be a star and just watched it for a moment.  ((NUFORC Note:  Star??  PD)),4/13/2010,-94.3983333
9/6/2001 21:55,warren,mi,us,disk,5 minutes,Large UFO-13 Mile and Hayes area Warren&#44 MI.,10/12/2001,-83.0277778
7/30/2008 01:30,ramstein (germany),nan,de,light,over an hour,Flashing light in sky&#44 hovered in one spot (didn&#39t move around)&#44 then 3 small lights quickly came from it and away.,8/12/2008,7.533333
1/17/2014 02:45,orlando,fl,us,cylinder,5 minutes,Blue cylinder over east Orlando erratic flying/flashing inject.,1/24/2014,-81.3794444
9/19/2009 20:00,greenfield,ma,us,light,30 secs?,White light with no known source fading into a mist without sound on cloudless night.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,-72.6
1/15/2006 15:00,charleston ??  (in-flight sighting),sc,nan,other,30 seconds,On a flight from Tampa to Baltimore&#44 somewhere over the Carolina&#39s&#44 saw a large white hockey-stick shaped object&#44 flying along with us.,2/1/2007,-79.931051
9/20/2008 11:00,chester,ny,us,unknown,20 minutes,seperate beads of light ( either relecting light or self illuminated) with a  stiff black line trailing from the bottom,10/31/2008,-74.2716667
6/16/2003 15:00,windsor (canada),on,ca,changing,40-45 seconds,I do nature photography. Yesterday June 16/13 I saw an object in the sky&#44 it looked about 350 ft in the air.  Flew directly over head i,7/3/2013,-72.0
7/10/2006 03:00,bognor regis (uk/england),nan,gb,triangle,20 minutes,Traingular Craft&#44 combined with outer body experiences?,7/16/2006,-0.65
6/15/2001 06:10,perth (western australia),nan,au,unknown,5 minutes,I saw three bright objects travelling together&#44 they were far away&#44 their velocity changed and one stoped it&#39s motion.,12/5/2001,115.861397
1/26/1999 20:15,la veta,co,us,other,15-20 minutes,Aircraft looked like a 747 three times its size.  At each wing tip were much smaller aircraft. A probe went to the ground from the bell,2/16/1999,-105.0072222
7/16/1967 14:00,barboursville,wv,us,sphere,3 to 4 minutes,Spherical UFO&#44 fall of 1967&#44 Barboursville&#44W.Va.,2/1/2007,-82.29472220000002
3/5/2004 22:00,punta gorda,fl,us,cross,10 minutes,At about 10:00 PM on 3/5/04&#44 I was ready for bed and went out on the lanai to check if the screen door was locked.  It was a very clear,6/18/2004,-82.0455556
1/1/2001 19:00,manitoulin island (canada),on,nan,other,5 minutes,Comet shped UFO&#39s video taped over Manitoulin Island (US Canada border).,2/18/2001,-82.037176
8/1/1998 20:45,st. louis,mo,us,light,less than 2 minutes,Object appeared below the moon. Travelled from Southeast to Northwest. Changed color and direction erratically.,11/21/1998,-90.1977778
7/4/1972 21:00,rehobeth beach (near),de,nan,disk,10 minutes,Hovering 25&#39 up&#44 middle section rotating clockwise and containing red&#44 yellow and (green?) lighted sections&#44 shot away fast&#44 no sound.,5/15/2013,-75.076014
4/22/2006 21:00,asheville,nc,us,unknown,2 minutes,2 UFO sightings in my area in the last week&#33,5/15/2006,-82.5541667
5/18/2012 22:15,goodrich,mi,us,light,2-4 mins,Glowing&#44 orange ball of light in the eastern sky 5-18-12.,5/29/2012,-83.5063889
12/4/2004 23:30,sutherland,ia,us,light,30 min,A quiet light apeared to observe us as we were coon hunting near the river.,2/24/2005,-95.4972222
10/10/1960 20:00,kaneohe,hi,us,light,15 minutes,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,1/22/2004,-157.8036111
2/10/2005 22:00,woodland,ca,us,circle,1 hour,Dog barking just before I went to bed...I looked out the bedroom window.  ((NUFORC Note:  Sighting of Sirius??  PD)),2/22/2005,-121.7722222
